filename,filepath,extraction_method,extraction_error,title,artist,album,genre,voice,service,lang_code,text,created,copyright,comment,date,year,track,disc,composer,publisher,encoder,bitrate,duration,size,format_name,format_long_name,sample_rate,channels,codec
vocab-item-012.mp3,audio_files/es-CO/vocab-item-012.mp3,ffprobe,,vocab-item-012,Levante Framework - ElevenLabs,"vocab, Vocabulary",Speech Synthesis,Valeria - Energetic & Engaging,ElevenLabs,es-CO,el pastel,2025-09-03 08:58:11.819825,This file was created for the LEVANTE project and is released under a Creative Commons BY-NC-SA 4.0 license,Levante Project - ElevenLabs - Valeria - Energetic & Engaging - es-CO,2025,2025,,,,,Lavf60.16.100,44772,0.992750,5556,mp3,MP2/3 (MPEG audio layer 2/3),22050,1,mp3
vocab-item-013.mp3,audio_files/es-CO/vocab-item-013.mp3,ffprobe,,vocab-item-013,Levante Framework - ElevenLabs,"vocab, Vocabulary",Speech Synthesis,Valeria - Energetic & Engaging,ElevenLabs,es-CO,el caramelo,2025-09-03 08:58:12.816669,This file was created for the LEVANTE project and is released under a Creative Commons BY-NC-SA 4.0 license,Levante Project - ElevenLabs - Valeria - Energetic & Engaging - es-CO,2025,2025,,,,,Lavf60.16.100,44149,1.045000,5767,mp3,MP2/3 (MPEG audio layer 2/3),22050,1,mp3
vocab-item-014.mp3,audio_files/es-CO/vocab-item-014.mp3,ffprobe,,vocab-item-014,Levante Framework - ElevenLabs,"vocab, Vocabulary",Speech Synthesis,Valeria - Energetic & Engaging,ElevenLabs,es-CO,el carrusel,2025-09-03 08:58:14.278522,This file was created for the LEVANTE project and is released under a Creative Commons BY-NC-SA 4.0 license,Levante Project - ElevenLabs - Valeria - Energetic & Engaging - es-CO,2025,2025,,,,,Lavf60.16.100,44149,1.045000,5767,mp3,MP2/3 (MPEG audio layer 2/3),22050,1,mp3
vocab-item-015.mp3,audio_files/es-CO/vocab-item-015.mp3,ffprobe,,vocab-item-015,Levante Framework - ElevenLabs,"vocab, Vocabulary",Speech Synthesis,Valeria - Energetic & Engaging,ElevenLabs,es-CO,la zanahoria,2025-09-03 08:58:15.290930,This file was created for the LEVANTE project and is released under a Creative Commons BY-NC-SA 4.0 license,Levante Project - ElevenLabs - Valeria - Energetic & Engaging - es-CO,2025,2025,,,,,Lavf60.16.100,43578,1.097250,5977,mp3,MP2/3 (MPEG audio layer 2/3),22050,1,mp3
vocab-item-016.mp3,audio_files/es-CO/vocab-item-016.mp3,ffprobe,,vocab-item-016,Levante Framework - ElevenLabs,"vocab, Vocabulary",Speech Synthesis,Valeria - Energetic & Engaging,ElevenLabs,es-CO,el casete,2025-09-03 08:58:16.285378,This file was created for the LEVANTE project and is released under a Creative Commons BY-NC-SA 4.0 license,Levante Project - ElevenLabs - Valeria - Energetic & Engaging - es-CO,2025,2025,,,,,Lavf60.16.100,45473,0.940500,5346,mp3,MP2/3 (MPEG audio layer 2/3),22050,1,mp3
vocab-item-017.mp3,audio_files/es-CO/vocab-item-017.mp3,ffprobe,,vocab-item-017,Levante Framework - ElevenLabs,"vocab, Vocabulary",Speech Synthesis,Valeria - Energetic & Engaging,ElevenLabs,es-CO,el queso,2025-09-03 08:58:17.298148,This file was created for the LEVANTE project and is released under a Creative Commons BY-NC-SA 4.0 license,Levante Project - ElevenLabs - Valeria - Energetic & Engaging - es-CO,2025,2025,,,,,Lavf60.16.100,47639,0.809750,4822,mp3,MP2/3 (MPEG audio layer 2/3),22050,1,mp3
vocab-item-018.mp3,audio_files/es-CO/vocab-item-018.mp3,ffprobe,,vocab-item-018,Levante Framework - ElevenLabs,"vocab, Vocabulary",Speech Synthesis,Valeria - Energetic & Engaging,ElevenLabs,es-CO,la capucha,2025-09-03 08:58:18.333425,This file was created for the LEVANTE project and is released under a Creative Commons BY-NC-SA 4.0 license,Levante Project - ElevenLabs - Valeria - Energetic & Engaging - es-CO,2025,2025,,,,,Lavf60.16.100,44780,0.992750,5557,mp3,MP2/3 (MPEG audio layer 2/3),22050,1,mp3
vocab-item-019.mp3,audio_files/es-CO/vocab-item-019.mp3,ffprobe,,vocab-item-019,Levante Framework - ElevenLabs,"vocab, Vocabulary",Speech Synthesis,Valeria - Energetic & Engaging,ElevenLabs,es-CO,la pinza para la ropa,2025-09-03 08:58:19.650343,This file was created for the LEVANTE project and is released under a Creative Commons BY-NC-SA 4.0 license,Levante Project - ElevenLabs - Valeria - Energetic & Engaging - es-CO,2025,2025,,,,,Lavf60.16.100,40739,1.462750,7449,mp3,MP2/3 (MPEG audio layer 2/3),22050,1,mp3
vocab-item-020.mp3,audio_files/es-CO/vocab-item-020.mp3,ffprobe,,vocab-item-020,Levante Framework - ElevenLabs,"vocab, Vocabulary",Speech Synthesis,Valeria - Energetic & Engaging,ElevenLabs,es-CO,el portavaso,2025-09-03 08:58:20.711809,This file was created for the LEVANTE project and is released under a Creative Commons BY-NC-SA 4.0 license,Levante Project - ElevenLabs - Valeria - Energetic & Engaging - es-CO,2025,2025,,,,,Lavf60.16.100,43578,1.097250,5977,mp3,MP2/3 (MPEG audio layer 2/3),22050,1,mp3
vocab-item-021.mp3,audio_files/es-CO/vocab-item-021.mp3,ffprobe,,vocab-item-021,Levante Framework - ElevenLabs,"vocab, Vocabulary",Speech Synthesis,Valeria - Energetic & Engaging,ElevenLabs,es-CO,el corcho,2025-09-03 08:58:21.785361,This file was created for the LEVANTE project and is released under a Creative Commons BY-NC-SA 4.0 license,Levante Project - ElevenLabs - Valeria - Energetic & Engaging - es-CO,2025,2025,,,,,Lavf60.16.100,46700,0.862000,5032,mp3,MP2/3 (MPEG audio layer 2/3),22050,1,mp3
vocab-item-022.mp3,audio_files/es-CO/vocab-item-022.mp3,ffprobe,,vocab-item-022,Levante Framework - ElevenLabs,"vocab, Vocabulary",Speech Synthesis,Valeria - Energetic & Engaging,ElevenLabs,es-CO,el pan de maíz,2025-09-03 08:58:22.965662,This file was created for the LEVANTE project and is released under a Creative Commons BY-NC-SA 4.0 license,Levante Project - ElevenLabs - Valeria - Energetic & Engaging - es-CO,2025,2025,,,,,Lavf60.16.100,42827,1.175500,6293,mp3,MP2/3 (MPEG audio layer 2/3),22050,1,mp3
vocab-item-023.mp3,audio_files/es-CO/vocab-item-023.mp3,ffprobe,,vocab-item-023,Levante Framework - ElevenLabs,"vocab, Vocabulary",Speech Synthesis,Valeria - Energetic & Engaging,ElevenLabs,es-CO,el corsé,2025-09-03 08:58:24.018601,This file was created for the LEVANTE project and is released under a Creative Commons BY-NC-SA 4.0 license,Levante Project - ElevenLabs - Valeria - Energetic & Engaging - es-CO,2025,2025,,,,,Lavf60.16.100,45473,0.940500,5346,mp3,MP2/3 (MPEG audio layer 2/3),22050,1,mp3
