service,name,id,language,language_code,gender,age,accent,voice_type,style,sample_url,description,category
ElevenLabs,B.Derome – News Broadcast,7DC4sk5JWSwsxDH9wneS,,,,,,,,https://storage.googleapis.com/eleven-public-prod/database/user/eFmYIzNi7fVTAUiSkCFaPtNH8aQ2/voices/7DC4sk5JWSwsxDH9wneS/DX5PqO8pkSLY8eQrxPon.mp3,,shared
ElevenLabs,Bala,IKs3wTKew8IXFEpl35o5,,,,,,,,https://storage.googleapis.com/eleven-public-prod/database/user/KEPALrS2pLayjGFPcpeqOpeCuPB2/voices/IKs3wTKew8IXFEpl35o5/b5dd77a9-0841-4f44-ba05-0863346dcc8f.mp3,,shared
ElevenLabs,BayLee ,uART9md5WKE9VOhh7dbV,de,de,female,middle_aged,standard,informative_educational,,https://storage.googleapis.com/eleven-public-prod/database/user/nyO8TFeOlXOaLDd8vN89cgre1Zy1/voices/uART9md5WKE9VOhh7dbV/v2s2zSMBgAvZ4vySGNrW.mp3,,professional
ElevenLabs,Beatriz,qMPkUZE8DHao8CgrrXuD,,,,,,,,https://storage.googleapis.com/eleven-public-prod/database/user/m6YoXt4ndFUpVNPTRSEPdl5xlAi2/voices/qMPkUZE8DHao8CgrrXuD/ae264bdb-4508-45d0-b8d9-62ad2a1f9441.mp3,,shared
ElevenLabs,Berto Jolliffe - African American Urban Voice,qVpGLzi5EhjW3WGVhOa9,,,,,,,,https://storage.googleapis.com/eleven-public-prod/database/user/g1yIzc5fDdbpzrmPL78mPvKbjUy1/voices/qVpGLzi5EhjW3WGVhOa9/0f00b94f-2d1e-4e4e-8988-c3c12a6fc593.mp3,,shared
ElevenLabs,Bill,pqHfZKP75CvOlQylNhV4,en,en,male,old,american,advertisement,,https://storage.googleapis.com/eleven-public-prod/premade/voices/pqHfZKP75CvOlQylNhV4/d782b3ff-84ba-4029-848c-acf01285524d.mp3,,premade
ElevenLabs,Bisi Obateru,s2fH3npO5HyoVpalFy6U,,,,,,,,https://storage.googleapis.com/eleven-public-prod/database/user/khn2ZNkoiuWTPZhUtZHrzzHjLiC3/voices/s2fH3npO5HyoVpalFy6U/b2b3fb65-93cb-4706-ba8b-e0dad2672e6a.mp3,,shared
ElevenLabs,Blopa Julio,rf1sPkRymUVJ1nQTuNAm,,,,,,,,https://storage.googleapis.com/eleven-public-prod/database/user/6yIwqm7C9xbt8oIHHHpKp2iVshv1/voices/rf1sPkRymUVJ1nQTuNAm/ac6c7d9a-a826-4cb1-95ba-95d931a96958.mp3,,shared
ElevenLabs,Boses Ng Dilim -  Horror Storyteller,OkDfD8rwvBeYcTxaYXYj,,,,,,,,https://storage.googleapis.com/eleven-public-prod/database/user/LXnSENvz8PfcqGFyjMXjCxYS5Tm1/voices/OkDfD8rwvBeYcTxaYXYj/Lmy9DcG06tzV5403kAu4.mp3,,shared
ElevenLabs,Brian,nPczCjzI2devNBz1zQrb,en,en,male,middle_aged,american,social_media,,https://storage.googleapis.com/eleven-public-prod/premade/voices/nPczCjzI2devNBz1zQrb/2dd3e72c-4fd3-42f1-93ea-abc5d4e5aa1d.mp3,,premade
ElevenLabs,Caio Signoretti,67bXhg8qkacZvis5eN99,,,,,,,,https://storage.googleapis.com/eleven-public-prod/database/user/4z0vFklt9pToW0chCMoKR3Du9Gj1/voices/67bXhg8qkacZvis5eN99/907a02bc-db90-4fc6-aae2-54b31c20b395.mp3,,shared
ElevenLabs,Callum,N2lVS1w4EtoT3dr4eOWO,en,en,male,middle_aged,,characters,,https://storage.googleapis.com/eleven-public-prod/premade/voices/N2lVS1w4EtoT3dr4eOWO/ac833bd8-ffda-4938-9ebc-b0f99ca25481.mp3,,premade
ElevenLabs,Carola Ferstl Nachrichten,K75lPKuh15SyVhQC1LrE,de,de,female,middle_aged,,informative_educational,,https://storage.googleapis.com/eleven-public-prod/5ei0MqicAANlsSFIQjEs6ffqAsA3/voices/K75lPKuh15SyVhQC1LrE/4148b6cd-757d-4551-992d-2b218a520ef5.mp3,,professional
ElevenLabs,Carsten Beyreuther ,DKCevyuNm5sbcmJ7NN8a,,,,,,,,https://storage.googleapis.com/eleven-public-prod/database/workspace/8e5644e93be24830aef3313c1698b709/voices/DKCevyuNm5sbcmJ7NN8a/bd26c929-0cf1-4ff0-a3a4-807e7f402df4.mp3,,shared
