survey,url_key,key,issue,default,en,en-US
caregiver-child,caregiver-child,pages_8_elements_0_html,neither,<block><b><font face=Verdana size=4>This section asks about your child's behavior and social interaction.,,
caregiver-child,caregiver-child,pages_9_elements_0_elements_0_rows_5_text,neither,Your child understands others' feelings.,,
caregiver-child,caregiver-child,pages_9_elements_0_elements_0_rows_6_text,neither,Your child exhibits good self-control in responding.,,
caregiver-child,caregiver-child,startSurveyText,both_keys,Start Survey,Start Survey,Start Survey
caregiver-child,caregiver-child,pageNextText,both_keys,Next,Next,Next
caregiver-family,caregiver-family,pages_3_elements_1_columns_3_text,neither,Neutral,Neutral ,
caregiver-family,caregiver-family,startSurveyText,both_keys,Start Survey,Start Survey,Start Survey
caregiver-family,caregiver-family,pageNextText,both_keys,Next,Next,Next
