identifier,labels,text,es-CO,de,fr-CA,nl,de-CH,es-AR,en-GH,context
pages/home-participant.assignments,,Assignments,Asignaciones,Zuordnungen,Assignments,Assignments,Zuordnungen,Assignments,Assignments,"pages/home-participant.assignments
assignments"
pages/home-participant.current,,Current,Actual,Aktuell,Current,Current,Aktuell,Current,Current,"pages/home-participant.current
current"
pages/home-participant.past,,Past,Pasado,Vergangen,Past,Past,Vergangen,Past,Past,"pages/home-participant.past
past"
pages/home-participant.upcoming,,Upcoming,Próximo,Kommend,Upcoming,Upcoming,Kommend,Upcoming,Upcoming,"pages/home-participant.upcoming
upcoming"
pages/home-participant.noCurrentAssignmentsFound,,No current assignments were found,No se encontraron asignaciones actuales,Keine aktuellen Zuordnungen gefunden,No current assignments were found,No current assignments were found,Keine aktuellen Zuordnungen gefunden,No current assignments were found,No current assignments were found,"pages/home-participant.noCurrentAssignmentsFound
noCurrentAssignmentsFound"
pages/home-participant.noPastAssignmentsFound,,No past assignments were found,No se encontraron asignaciones pasadas,Keine vergangenen Zuordnungen gefunden,No past assignments were found,No past assignments were found,Keine vergangenen Zuordnungen gefunden,No past assignments were found,No past assignments were found,"pages/home-participant.noPastAssignmentsFound
noPastAssignmentsFound"
pages/home-participant.noUpcomingAssignmentsFound,,No upcoming assignments were found,No se encontraron asignaciones futuras,Keine kommenden Zuordnungen gefunden,No upcoming assignments were found,No upcoming assignments were found,Keine kommenden Zuordnungen gefunden,No upcoming assignments were found,No upcoming assignments were found,"pages/home-participant.noUpcomingAssignmentsFound
noUpcomingAssignmentsFound"
pages/home-selector.inactivityLogout,,"You will soon be logged out for security purposes. Please click ""Continue"" if you wish to continue your session.\n Otherwise, you will be automatically logged out in { timeLeft } seconds.","Pronto se cerrará la sesión por razones de seguridad. Por favor haga clic en ""Continuar"" si desea continuar su sesión. Si no, la sesión se cerrará automáticamente en {timeLeft} segundos.","Sie werden aus Sicherheitsgründen bald abgemeldet. Bitte klicken Sie auf ""Weiter"", wenn Sie Ihre Sitzung fortsetzen möchten. \n Andernfalls werden Sie in { timeLeft } Sekunden automatisch abgemeldet.","You will soon be logged out for security purposes. Please click ""Continue"" if you wish to continue your session.\n Otherwise, you will be automatically logged out in { timeLeft } seconds.","You will soon be logged out for security purposes. Please click ""Continue"" if you wish to continue your session.\n Otherwise, you will be automatically logged out in { timeLeft } seconds.","Sie werden aus Sicherheitsgründen bald abgemeldet. Bitte klicken Sie auf ""Weiter"", wenn Sie Ihre Sitzung fortsetzen möchten. \n Andernfalls werden Sie in { timeLeft } Sekunden automatisch abgemeldet.","You will soon be logged out for security purposes. Please click ""Continue"" if you wish to continue your session.\n Otherwise, you will be automatically logged out in { timeLeft } seconds.","You will soon be logged out for security purposes. Please click ""Continue"" if you wish to continue your session.\n Otherwise, you will be automatically logged out in { timeLeft } seconds.","pages/home-selector.inactivityLogout
inactivityLogout"
pages/home-selector.inactivityLogoutAcceptLabel,,Continue,Continuar,Fortsetzen,Continue,Continue,Fortsetzen,Continue,Continue,"pages/home-selector.inactivityLogoutAcceptLabel
inactivityLogoutAcceptLabel"
pages/home-selector.loading,,Loading...,Cargando...,Laden...,Loading...,Loading...,Laden...,Loading...,Loading...,"pages/home-selector.loading
loading"
pages/not-found.label,,Return to Home,Volver a la página principal,"Klicken Sie hier, um zur Startseite zu gelangen",Return to Home,Return to Home,"Klicken Sie hier, um zur Startseite zu gelangen",Return to Home,Return to Home,"pages/not-found.label
label"
pages/not-found.pageNotFound,,Page not found,Página no encontrada,Seite nicht gefunden,Page not found,Page not found,Seite nicht gefunden,Page not found,Page not found,"pages/not-found.pageNotFound
pageNotFound"
pages/not-found.sorry,,"Sorry, we could not find that page!","Lo siento, ¡no pudimos encontrar esa página!","Entschuldigung, wir konnten diese Seite nicht finden!","Sorry, we could not find that page!","Sorry, we could not find that page!","Entschuldigung, wir konnten diese Seite nicht finden!","Sorry, we could not find that page!","Sorry, we could not find that page!","pages/not-found.sorry
sorry"
pages/signin.adminAction,,here,aquí,hier,here,here,hier,here,here,"pages/signin.adminAction
adminAction"
pages/signin.adminInfoPrompt,,If you registered with a Google email or your email provider uses Google SSO.,Si te registraste con un correo de Google o si tu proveedor de correo utiliza Google SSO.,"Wenn Sie sich mit einer Google-E-Mail oder Ihr E-Mail-Anbieter Google SSO verwendet, registriert haben.",If you registered with a Google email or your email provider uses Google SSO.,If you registered with a Google email or your email provider uses Google SSO.,"Wenn Sie sich mit einer Google-E-Mail oder Ihr E-Mail-Anbieter Google SSO verwendet, registriert haben.",If you registered with a Google email or your email provider uses Google SSO.,If you registered with a Google email or your email provider uses Google SSO.,"pages/signin.adminInfoPrompt
adminInfoPrompt"
pages/signin.adminPrompt,,Are you an Admin? Click {action} to Sign in.,¿Eres un Administrador? Haz clic {action} para Iniciar sesión.,"Sind Sie ein Administrator? Klicken Sie {action}, um sich anzumelden.",Are you an Admin? Click {action} to Sign in.,Are you an Admin? Click {action} to Sign in.,"Sind Sie ein Administrator? Klicken Sie {action}, um sich anzumelden.",Are you an Admin? Click {action} to Sign in.,Are you an Admin? Click {action} to Sign in.,"pages/signin.adminPrompt
adminPrompt"
pages/signin.havingTrouble,,Having trouble?,¿Tienes problemas?,Haben Sie Schwierigkeiten?,Having trouble?,Having trouble?,Haben Sie Schwierigkeiten?,Having trouble?,Having trouble?,"pages/signin.havingTrouble
havingTrouble"
pages/signin.login,,Log in to access your dashboard,Inicia sesión para acceder a tu panel de control,"Melden Sie sich an, um auf Ihr Dashboard zuzugreifen",Log in to access your dashboard,Log in to access your dashboard,"Melden Sie sich an, um auf Ihr Dashboard zuzugreifen",Log in to access your dashboard,Log in to access your dashboard,"pages/signin.login
login"
pages/signin.loginWith,,Log in with,Iniciar sesión con,Anmelden mit,Log in with,Log in with,Anmelden mit,Log in with,Log in with,"pages/signin.loginWith
loginWith"
pages/signin.welcome,,Welcome to ROAR!,¡Bienvenido a ROAR!,Willkommen bei ROAR!,Welcome to ROAR!,Welcome to ROAR!,Willkommen bei ROAR!,Welcome to ROAR!,Welcome to ROAR!,"pages/signin.welcome
welcome"
surveys/user-survey.specificRelationDescriptionChildA,,For child with Birth Month,Para el niño con Mes de Nacimiento,Für Kind mit Geburtsmonat,For child with Birth Month,For child with Birth Month,Für Kind mit Geburtsmonat,For child with Birth Month,For child with Birth Month,"surveys/user-survey.specificRelationDescriptionChildA
specificRelationDescriptionChildA"
surveys/user-survey.specificRelationDescriptionChildB,,and Birth Year,y Año de Nacimiento,und Geburtsjahr,and Birth Year,and Birth Year,und Geburtsjahr,and Birth Year,and Birth Year,"surveys/user-survey.specificRelationDescriptionChildB
specificRelationDescriptionChildB"
surveys/user-survey.specificRelationDescriptionClass,,For class,Para la clase,Für Klasse,For class,For class,Für Klasse,For class,For class,"surveys/user-survey.specificRelationDescriptionClass
specificRelationDescriptionClass"
